duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:02:07,100,1.132624534368515,nan,298.5,497.5,298.5
0:05:38,100,1.0285897022485733,nan,45.8,244.8,45.8
0:06:09,200,0.45521648198366166,nan,1.0,123.5,1.0
0:06:45,300,0.2549282553792,nan,1.0,144.3,1.0
0:07:18,400,0.22114434599876404,nan,1.0,130.8,1.0
0:07:50,500,0.21911753118038177,nan,1.0,128.3,1.0
0:08:23,600,0.215738682448864,nan,1.0,145.2,1.0
0:08:54,700,0.20566974222660064,nan,1.0,147.6,1.0
0:09:28,800,0.20458574384450912,nan,1.0,155.3,1.0
0:09:58,900,0.20665890961885452,nan,1.0,136.7,1.0
0:10:31,1000,0.2048222939670086,nan,1.0,146.2,1.0
0:10:54,1100,0.2011946804821491,2.1359083545207977,1.0,143.6,1.0
0:11:18,1200,0.19757936254143715,1.6244186890125274,1.0,144.3,1.0
0:11:42,1300,0.1998612843453884,1.4547079491615296,1.0,144.9,1.0
0:12:06,1400,0.20066211268305778,1.4353444790840149,1.0,152.4,1.0
0:12:30,1500,0.20334210202097894,1.429734103679657,1.0,142.3,1.0
0:12:54,1600,0.20176057800650596,1.4264984011650086,1.0,137.2,1.0
0:13:19,1700,0.2004598757624626,1.424575709104538,1.0,147.7,1.0
0:13:43,1800,0.20029147520661353,1.423200522661209,1.0,145.9,1.0
0:14:07,1900,0.20208586856722832,1.4220330452919006,1.0,149.8,1.0
0:14:31,2000,0.20109441876411438,1.4209944200515747,1.0,149.4,1.0
0:14:55,2100,0.20266139656305313,1.4202433276176452,1.0,148.0,1.0
0:15:18,2200,0.2013900138437748,1.4194485068321228,1.0,137.0,1.0
0:15:46,2300,0.20138116627931596,1.41879469871521,1.0,152.8,1.0
0:16:11,2400,0.2033502694964409,1.4180303978919984,1.0,143.7,1.0
0:16:35,2500,0.2034132722020149,1.4176526796817779,1.0,139.7,1.0
0:17:01,2600,0.2014696989953518,1.4168786025047302,1.0,150.5,1.0
0:17:26,2700,0.20212866753339767,1.4164366364479064,1.0,147.4,1.0
0:17:50,2800,0.205798859000206,1.415947929620743,1.0,145.5,1.0
0:18:14,2900,0.2009723226726055,1.4154610967636108,1.0,147.9,1.0
0:18:39,3000,0.20014699652791024,1.4148614656925202,1.0,148.2,1.0
