duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
2:11:49,10,1.1833577632904053,nan,801.0,1000.0,801.0
3:51:56,20,1.0702474772930146,nan,717.5,916.5,717.5
4:23:29,30,0.8826076447963714,nan,137.3,336.3,137.3
4:44:54,40,0.6753371179103851,nan,23.3,204.4,23.3
5:02:38,50,0.5040231645107269,nan,1.0,157.3,1.0
5:17:56,60,0.3841476231813431,nan,1.0,153.0,1.0
5:31:13,70,0.2974765956401825,nan,1.0,119.2,1.0
5:47:26,80,0.2510397329926491,nan,1.0,147.6,1.0
6:01:10,90,0.23146103620529174,nan,1.0,137.8,1.0
6:19:07,100,0.22726984173059464,nan,1.0,151.6,1.0
