duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
2:05:46,100,1.1673425400257111,1.329700231552124,801.0,1000.0,801.0
2:33:39,200,0.7554678404331208,1.329700231552124,137.3,336.3,137.3
2:56:56,300,0.4661551734805107,1.329700231552124,67.4,266.4,67.4
3:20:50,400,0.3327085906267166,1.329700231552124,95.6,287.6,95.6
3:42:08,500,0.27026544854044915,1.329700231552124,68.6,260.8,68.6
3:55:08,600,0.24388533547520638,1.329700231552124,2.2,132.0,2.2
4:14:07,700,0.22678106680512428,1.329700231552124,1.0,134.0,1.0
4:33:24,800,0.2221150954067707,1.329700231552124,1.0,121.2,1.0
4:54:22,900,0.22044268265366554,1.329700231552124,1.0,144.9,1.0
5:13:29,1000,0.2111869092285633,1.329700231552124,1.0,134.8,1.0
5:26:56,1100,0.211872316300869,1.329700231552124,1.0,117.5,1.0
5:41:44,1200,0.208383456915617,1.329700231552124,1.0,138.6,1.0
5:55:14,1300,0.20743064180016518,1.329700231552124,1.0,136.2,1.0
6:09:41,1400,0.20228902354836464,1.329700231552124,1.0,149.1,1.0
6:24:50,1500,0.21200142160058022,1.329700231552124,1.0,147.9,1.0
6:34:55,1600,0.20446119263768195,3.926481478214264,1.0,155.3,1.0
6:43:59,1700,0.20511782348155974,3.804255473613739,1.0,137.1,1.0
6:52:51,1800,0.20439664483070374,3.6857784748077393,1.0,129.5,1.0
7:01:53,1900,0.2051324738562107,3.5335051608085633,1.0,135.9,1.0
7:10:34,2000,0.20350889146327972,3.430757849216461,1.0,136.8,1.0
7:19:53,2100,0.2038189934194088,3.302087845802307,1.0,147.4,1.0
7:28:22,2200,0.200729079246521,3.190465359687805,1.0,141.8,1.0
7:36:24,2300,0.2051877871155739,3.0856568717956545,1.0,135.0,1.0
7:44:41,2400,0.2039485889673233,2.9657711505889894,1.0,137.5,1.0
7:52:56,2500,0.2044362848997116,2.8744233226776124,1.0,141.9,1.0
8:01:11,2600,0.20517222210764885,2.7806881403923036,1.0,131.4,1.0
8:09:15,2700,0.2024078206717968,2.684139761924744,1.0,129.5,1.0
8:17:15,2800,0.1992921043932438,2.606562192440033,1.0,130.4,1.0
8:25:41,2900,0.20352472066879274,2.5211983346939086,1.0,138.2,1.0
8:35:14,3000,0.20185601994395255,2.436059732437134,1.0,154.6,1.0
