duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:01:01,100,0.4316645148396492,nan,1.0,127.6,1.0
0:04:43,200,0.8013732948899269,nan,801.0,1000.0,801.0
0:07:53,300,0.8622247654199601,nan,801.0,1000.0,801.0
0:10:44,400,0.8676567840576171,nan,801.0,1000.0,801.0
0:13:34,500,0.8570653003454208,nan,801.0,1000.0,801.0
0:16:25,600,0.8585699027776719,nan,801.0,1000.0,801.0
0:19:16,700,0.8601507085561753,nan,801.0,1000.0,801.0
0:22:31,800,0.8536494547128677,nan,801.0,1000.0,801.0
0:25:21,900,0.8600453770160675,nan,801.0,1000.0,801.0
0:28:15,1000,0.8628945434093476,nan,801.0,1000.0,801.0
0:30:49,1100,0.8566855484247208,2.011940271854401,801.0,1000.0,801.0
0:33:23,1200,0.8535111033916474,1.976730810403824,801.0,1000.0,801.0
0:35:56,1300,0.8522862660884857,1.9767219948768615,801.0,1000.0,801.0
0:38:55,1400,0.8558865034580231,1.979950944185257,801.0,1000.0,801.0
0:41:31,1500,0.8547400617599488,1.9795317125320435,801.0,1000.0,801.0
0:44:09,1600,0.8570126366615295,1.981973136663437,801.0,1000.0,801.0
0:46:45,1700,0.8498819375038147,1.9794807386398316,801.0,1000.0,801.0
0:49:20,1800,0.8568238359689713,1.9863396525382995,801.0,1000.0,801.0
0:52:03,1900,0.8598393100500107,1.9876378774642944,801.0,1000.0,801.0
0:55:32,2000,0.8571566379070282,1.9896078407764435,801.0,1000.0,801.0
0:58:39,2100,0.856689687371254,1.9867880594730378,801.0,1000.0,801.0
1:01:52,2200,0.8574405682086944,1.9934484040737153,801.0,1000.0,801.0
1:05:05,2300,0.8612232452630997,1.9912950682640076,801.0,1000.0,801.0
1:08:33,2400,0.8550694435834885,1.977334908246994,801.0,1000.0,801.0
1:12:15,2500,0.8564586097002029,1.9783747792243958,801.0,1000.0,801.0
1:15:29,2600,0.8540041452646255,1.975427302122116,801.0,1000.0,801.0
1:18:42,2700,0.8521634018421174,1.974009530544281,801.0,1000.0,801.0
1:22:12,2800,0.8545016640424729,1.977044174671173,801.0,1000.0,801.0
1:26:24,2900,0.8551865243911743,1.977057489156723,801.0,1000.0,801.0
1:29:55,3000,0.8539400780200959,1.9764454364776611,801.0,1000.0,801.0
