duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:39:40,100,0.2585433028638363,nan,1.0,130.4,1.0
3:03:39,200,0.6505385461449623,nan,801.0,1000.0,801.0
5:25:20,300,0.7377893781661987,nan,801.0,1000.0,801.0
7:50:42,400,0.7375821024179459,nan,801.0,1000.0,801.0
10:25:07,500,0.7373880410194397,nan,801.0,1000.0,801.0
12:59:08,600,0.736923998594284,nan,801.0,1000.0,801.0
15:28:19,700,0.7366369277238846,nan,801.0,1000.0,801.0
17:53:39,800,0.7372625488042831,nan,801.0,1000.0,801.0
