duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:00:35,100,0.4257671183347702,nan,1.0,116.7,1.0
0:03:00,200,0.8515497499704361,nan,801.0,1000.0,801.0
0:05:23,300,0.8595130282640457,nan,801.0,1000.0,801.0
0:07:52,400,0.85823273062706,nan,801.0,1000.0,801.0
0:10:13,500,0.8632477217912674,nan,801.0,1000.0,801.0
0:12:32,600,0.8558810621500015,nan,801.0,1000.0,801.0
0:14:54,700,0.8587304586172104,nan,801.0,1000.0,801.0
0:17:14,800,0.8584127855300904,nan,801.0,1000.0,801.0
0:19:34,900,0.8606978797912598,nan,801.0,1000.0,801.0
0:21:54,1000,0.8555752283334732,nan,801.0,1000.0,801.0
0:24:10,1100,0.8732338392734528,2.032051725387573,801.0,1000.0,801.0
0:26:19,1200,0.8831429493427276,1.9838744962215424,801.0,1000.0,801.0
0:28:26,1300,0.8777979594469071,1.9812052214145661,801.0,1000.0,801.0
0:30:43,1400,0.8707861852645874,1.9799244046211242,801.0,1000.0,801.0
0:33:01,1500,0.8696200132369996,1.9793106341362,801.0,1000.0,801.0
0:35:16,1600,0.8776571321487426,1.9847471368312837,801.0,1000.0,801.0
0:37:22,1700,0.8809405440092086,1.9865157222747802,801.0,1000.0,801.0
0:39:28,1800,0.868921793103218,1.980773810148239,801.0,1000.0,801.0
0:41:33,1900,0.8655753821134567,1.9867834162712097,801.0,1000.0,801.0
0:43:38,2000,0.878775669336319,1.9921964848041533,801.0,1000.0,801.0
0:45:44,2100,0.87210211455822,1.9913739359378815,801.0,1000.0,801.0
0:47:52,2200,0.8728433382511139,1.9879224073886872,801.0,1000.0,801.0
0:49:58,2300,0.8779955023527145,1.9858685278892516,801.0,1000.0,801.0
0:52:04,2400,0.8761495584249497,1.9789187073707581,801.0,1000.0,801.0
0:54:10,2500,0.8833705103397369,1.9836663031578063,801.0,1000.0,801.0
0:56:15,2600,0.8802213346958161,1.981380535364151,801.0,1000.0,801.0
0:58:21,2700,0.8752598565816879,1.9786464619636535,801.0,1000.0,801.0
1:00:28,2800,0.8746352189779282,1.978746771812439,801.0,1000.0,801.0
1:02:35,2900,0.865178599357605,1.9731125342845917,801.0,1000.0,801.0
1:04:42,3000,0.8791152662038804,1.9805783903598786,801.0,1000.0,801.0
